contractId,description,category,status,progress,region,province,latitude,longitude,startDate,completionDate,infraYear,programName,sourceOfFunds,budget,amountPaid,contractorId,image_folder_path,downloaded_image_count,date_00_pre_start,date_25_progress,date_50_progress,date_75_progress,date_100_completed,date_post_completion,osm_mask_path,delta_00_to_25,delta_25_to_50,delta_50_to_75,delta_75_to_10,delta_10_to_po,construction_cluster
19gb0033,"construction of concrete road - brgy. tula-tula - brgy. calu-oy - brgy. bulalacao circumferential road connecting to public market of sibalom in support of agribusiness industry (coffee, rootcrops, peanuts and ginger), sibalom, antique",roads,completed,100.0,Region VI,Antique DEO,10.7511317,122.087275,2019-07-12,2021-05-24,2019,regular infra,regular infra - gaa 2019 cssp,12204064.84,0,31963,data/images/19gb0033,6,2019-06-12,2019-12-29,2020-06-17,2020-12-04,2021-05-24,2021-06-23,data/images/19gb0033/19gb0033_road_mask.png,0.0976382121443748,0.0464429855346679,0.0630777552723884,0.0894298553466796,0.0438442341983318,1.0
23fk0021,"convergence and special support program (cssp)-construction_improvement of access roads leading to declared tourism destinations (tourism road infrastructure program-trip) inlagadian road leading to nagsipit falls and cross of worship, casiguran, sorsogon",roads,completed,100.0,Region V,Sorsogon DEO,12.8065972,124.0513167,2023-02-17,2024-02-20,2023,regular infra,regular infra - gaa 2023 cssp,96499983.65,0,41289,data/images/23fk0021,6,2023-01-18,2023-05-20,2023-08-20,2023-11-20,2024-02-20,2024-03-21,data/images/23fk0021/23fk0021_road_mask.png,0.0378737151622772,0.052279245108366,0.0800950452685356,0.1445150375366211,0.0981177017092704,0.0
21e00031,"construction of missing links/new roads odiongan east-west road, sta. 015+200.00-sta. 016+659.50, odiongan, romblon",roads,completed,100.0,Region IV-B,Region IV-B,12.3975334,122.0622893,2021-02-16,2022-10-28,2021,regular infra,regular infra - gaa 2021 oo-1,98429891.1,0,22465,data/images/21e00031,6,2021-01-17,2021-07-20,2021-12-22,2022-05-26,2022-10-28,2022-11-27,data/images/21e00031/21e00031_road_mask.png,0.1550835222005844,0.1042901948094368,0.1195682287216186,0.1164686232805252,0.0757047608494758,1.0
19fi0001,"construction of concrete road - concreting of road, junction national road - sitio barayong - potoson, baleno, masbate",roads,completed,100.0,Region V,Masbate 2nd DEO,12.48132,123.48759,2019-06-27,2021-09-11,2019,regular infra,regular infra - gaa 2019 lp,4899406.44,0,32921,data/images/19fi0001,6,2019-05-28,2020-01-14,2020-08-03,2021-02-21,2021-09-11,2021-10-11,data/images/19fi0001/19fi0001_road_mask.png,0.1070596501231193,0.0806538760662078,0.0661194548010826,0.1579768806695938,0.1400861591100692,0.0
22na0031,"construction of telesfora-camingawan-canticol road, agusan del norte",roads,completed,100.0,Region XIII,Agusan del Norte DEO,9.1971806,125.5779806,2022-06-02,2024-03-21,2022,regular infra,regular infra - gaa 2022 cssp,48675608.83,0,36908,data/images/22na0031,6,2022-05-03,2022-11-13,2023-04-27,2023-10-08,2024-03-21,2024-04-20,data/images/22na0031/22na0031_road_mask.png,0.0837105959653854,0.0979966670274734,0.0811977460980415,0.1546599864959716,0.1517817378044128,0.0
20eh0039,"construction/improvement of access roads leading to declared tourism destination - promenade boulevard (ferrol to gahac, canduyong), romblon, tablas island, romblon",roads,completed,100.0,Region IV-B,Romblon DEO,12.3730529,121.9446398,2020-05-04,2021-10-15,2020,regular infra,regular infra - gaa 2020 cssp,64836096.74,0,32158,data/images/20eh0039,6,2020-04-04,2020-09-13,2021-01-23,2021-06-04,2021-10-15,2021-11-14,data/images/20eh0039/20eh0039_road_mask.png,0.0488548018038272,0.1011737287044525,0.1264029890298843,0.039804134517908,0.0255852788686752,2.0
22n00052,"construction of salvacion-omot road, prosperidad, agusan del sur",roads,completed,100.0,Region XIII,Region XIII,8.5800958,125.9241069,2022-04-11,2023-11-22,2022,regular infra,regular infra - gaa 2022 cssp,110970572.93,0,35966,data/images/22n00052,6,2022-03-12,2022-09-05,2023-01-31,2023-06-27,2023-11-22,2023-12-22,data/images/22n00052/22n00052_road_mask.png,0.1151992678642273,0.1288094669580459,0.1167721599340438,0.0585206523537635,0.1046123281121254,1.0
20d00008,"fy 2020 dpwh infrastructure program  organizational outcome 1: ensure safe and reliable national road system network development program  construction of bypass and diversion roads angono- antipolo diversion road (angono section), package c, rizal",roads,completed,100.0,Region IV-A,Region IV-A,14.5481962,121.1731547,2020-02-24,2021-04-18,2020,regular infra,regular infra - gaa 2020 oo-1,140118635.32,0,35843,data/images/20d00008,6,2020-01-25,2020-06-07,2020-09-20,2021-01-03,2021-04-18,2021-05-18,data/images/20d00008/20d00008_road_mask.png,0.0587813034653663,0.1049593985080719,0.1174340844154357,0.0842905864119529,0.083332784473896,2.0
22nf0029,"construction of jct. nueva estrella to honrado road, socorro, siargao, surigao del norte",roads,completed,100.0,Region XIII,Surigao del Norte 1st DEO,9.6368685,125.9337633,2022-03-06,2024-12-17,2022,regular infra,regular infra - gaa 2022 cssp,85981453.8,0,40441,data/images/22nf0029,6,2022-02-04,2022-11-15,2023-07-27,2024-04-06,2024-12-17,2025-01-16,data/images/22nf0029/22nf0029_road_mask.png,0.0524658784270286,0.0721373334527015,0.0912869051098823,0.1339994668960571,0.1008854955434799,0.0
20bg0080,"oo1: ensure safe and reliable national road system - network development program - construction of by-pass and diversion roads - benito soliven bypass road, benito soliven, isabela",roads,completed,100.0,Region II,Isabela 3rd DEO,16.9911678,121.9442281,2020-03-04,2022-11-28,2020,regular infra,regular infra - gaa 2020 oo-1,42988584.21,0,24369,data/images/20bg0080,6,2020-02-03,2020-11-08,2021-07-16,2022-03-23,2022-11-28,2022-12-28,data/images/20bg0080/20bg0080_road_mask.png,0.1182983666658401,0.1020151749253273,0.0883509218692779,0.0903667584061622,0.0180624723434448,1.0
